"207163_s_at"	"202580_x_at"	"215497_s_at"	"216036_x_at"	"204292_x_at"	"200094_s_at"	"40829_at"	"41657_at"	"204102_s_at"	"208991_at"	"212983_at"	"208992_s_at"	"221539_at"
"200010_at"	"221798_x_at"	"214317_x_at"	"200062_s_at"	"200717_x_at"	"200022_at"	"201033_x_at"	"200908_s_at"	"201429_s_at"	"217747_s_at"	"200926_at"	"212042_x_at"	"214335_at"	"208856_x_at"	"200936_at"	"200074_s_at"	"217670_at"	"200002_at"	"207585_s_at"	"212044_s_at"	"222297_x_at"	"200674_s_at"	"213588_x_at"	"211720_x_at"	"213459_at"	"217266_at"	"200834_s_at"	"221475_s_at"	"214041_x_at"	"211972_x_at"	"219138_at"	"214097_at"	"221476_s_at"	"214167_s_at"	"201492_s_at"	"200092_s_at"	"214940_s_at"	"220347_at"	"217716_s_at"	"201011_at"	"208674_x_at"	"208675_s_at"	"213753_x_at"	"201122_x_at"	"217980_s_at"	"204330_s_at"	"201123_s_at"	"204331_s_at"	"213840_s_at"	"210008_s_at"	"218481_at"	"205541_s_at"	"213648_at"	"212627_s_at"	"203740_at"
"207113_s_at"	"207641_at"	"204581_at"	"205049_s_at"	"217422_s_at"	"206056_x_at"	"220674_at"	"204563_at"	"206057_x_at"	"38521_at"	"216980_s_at"	"214049_x_at"	"216981_x_at"	"214551_s_at"
"202240_at"	"201890_at"	"204267_x_at"	"204695_at"	"209773_s_at"	"204696_s_at"	"217786_at"
"216326_s_at"	"202247_s_at"	"203444_s_at"	"215071_s_at"	"209352_s_at"	"204898_at"	"39705_at"	"204899_s_at"	"200093_s_at"	"204900_x_at"	"207721_x_at"	"213963_s_at"
"201694_s_at"	"202400_s_at"	"214732_at"	"201693_s_at"	"202401_s_at"	"210333_at"	"208502_s_at"
"200601_at"	"213885_at"	"213884_s_at"	"202621_at"	"208436_s_at"	"204910_s_at"	"203275_at"	"204911_s_at"	"210514_x_at"	"208894_at"
"215996_at"	"204046_at"	"200744_s_at"	"200852_x_at"	"210388_at"	"220566_at"	"200745_s_at"	"201040_at"	"200746_s_at"	"219619_at"	"213384_x_at"	"213245_at"	"209201_x_at"	"210234_at"	"215340_at"	"211919_s_at"	"215348_at"	"217028_at"
"203872_at"	"211928_at"	"209026_x_at"	"211714_x_at"	"202476_s_at"	"203660_s_at"
"216088_s_at"	"214448_x_at"	"202243_s_at"	"203396_at"	"212219_at"	"201252_at"	"214062_x_at"	"202244_at"	"201114_x_at"	"212220_at"	"207535_s_at"	"205205_at"	"212222_at"	"209636_at"	"211524_at"	"218555_at"	"201364_s_at"	"201365_at"
"211730_s_at"	"206194_at"	"202586_at"	"207769_s_at"	"201638_s_at"	"202354_s_at"	"204031_s_at"	"208620_at"	"210499_s_at"	"209449_at"	"204559_s_at"	"221021_s_at"	"218110_at"	"209381_x_at"	"214527_s_at"	"213263_s_at"	"202355_s_at"	"37462_i_at"	"202356_s_at"	"213264_at"	"213517_at"
"203010_at"	"206118_at"	"203035_s_at"
"211177_s_at"	"219808_at"	"59705_at"	"210803_at"	"221575_at"	"210063_at"
"202112_at"	"211831_s_at"	"206390_x_at"	"211154_at"	"206493_at"	"211155_s_at"	"206494_s_at"	"216956_s_at"	"216966_at"	"206181_at"	"200663_at"
"202546_at"	"213728_at"	"201392_s_at"	"203833_s_at"	"201393_s_at"	"201276_at"	"201140_s_at"	"203834_s_at"	"203388_at"	"201156_s_at"	"212040_at"	"202253_s_at"	"212043_at"	"216024_at"	"211963_s_at"	"217817_at"	"217818_s_at"	"201851_at"
"205312_at"	"204039_at"	"207954_at"	"209710_at"	"206283_s_at"	"210358_x_at"	"216925_s_at"	"216928_at"
"32541_at"	"204269_at"	"207000_s_at"	"202193_at"
"203663_s_at"	"208714_at"	"218320_s_at"	"202839_s_at"	"202004_x_at"	"211407_at"	"201568_at"	"200883_at"	"210131_x_at"	"212600_s_at"	"211752_s_at"	"215088_s_at"	"216591_s_at"	"217491_x_at"	"213846_at"	"201134_x_at"	"213333_at"	"209036_s_at"
"32540_at"	"202186_x_at"
"213950_s_at"	"202187_s_at"
"209697_at"	"202329_at"	"208018_s_at"
"212780_at"	"219907_at"	"212777_at"	"206219_s_at"	"212651_at"	"221789_x_at"	"222131_x_at"	"203175_at"	"208009_s_at"	"65770_at"	"220427_at"
"214057_at"	"206863_x_at"	"1861_at"	"206864_s_at"	"209364_at"	"200796_s_at"	"206865_at"	"200797_s_at"	"214056_at"	"204493_at"	"200798_x_at"	"211725_s_at"
"215787_at"	"212320_at"	"220414_at"
"221923_s_at"	"219098_at"
"221691_x_at"	"214251_s_at"
"205096_at"	"220035_at"	"212125_at"	"219769_at"	"212127_at"	"212315_s_at"
"214425_at"	"206022_at"	"205713_s_at"	"205477_s_at"	"201749_at"	"206222_at"
"202226_s_at"	"209999_x_at"	"217865_at"	"210000_s_at"	"222058_at"	"210001_s_at"	"213337_s_at"
"213108_at"	"206489_s_at"	"210750_s_at"	"204647_at"	"222222_s_at"	"206490_at"	"215489_x_at"	"207613_s_at"
"208291_s_at"	"205428_s_at"
"205936_s_at"	"205237_at"
"206270_at"	"206399_x_at"
"215389_s_at"	"205693_at"	"205177_at"	"205766_at"	"205589_at"	"209742_s_at"	"204083_s_at"	"206393_at"	"212654_at"
"200063_s_at"	"200747_s_at"
"218906_x_at"	"209680_s_at"	"207682_s_at"	"203849_s_at"	"214023_x_at"	"208128_x_at"
"210982_s_at"	"211530_x_at"	"203365_s_at"	"211528_x_at"	"211529_x_at"
"203577_at"	"217864_s_at"	"205932_s_at"	"217862_at"
"208723_at"	"215582_x_at"	"215581_s_at"	"212101_at"
"202225_at"	"201841_s_at"
"202224_at"	"1438_at"	"203315_at"
"217873_at"	"215188_at"
"206450_at"	"208817_at"	"221087_s_at"	"208818_s_at"
"215794_x_at"	"210046_s_at"	"210045_at"	"210447_at"	"201135_at"
"211560_s_at"	"211322_s_at"	"205164_at"	"207889_at"	"36475_at"	"210862_s_at"
"211630_s_at"	"209276_s_at"	"206662_at"	"201415_at"	"217752_s_at"
"205845_at"	"208489_at"
"212303_x_at"	"219085_s_at"	"205527_s_at"	"217099_s_at"	"204371_s_at"	"204372_s_at"
"201673_s_at"	"217383_at"
"206001_at"	"214498_at"
"200600_at"	"209830_s_at"
"200782_at"	"201553_s_at"	"205798_at"
"214933_at"	"221321_s_at"
"206522_at"	"210332_at"
"206834_at"	"205919_at"	"206647_at"	"220807_at"	"217683_at"
"200968_s_at"	"201380_at"	"204724_s_at"	"200967_at"
"37028_at"	"215624_at"
"206737_at"	"208449_s_at"	"206213_at"
"207282_s_at"	"204954_s_at"	"217270_s_at"
"211231_x_at"	"208928_at"	"207407_x_at"
"204855_at"	"207844_at"
"202175_at"	"203452_at"	"202012_s_at"	"202013_s_at"	"35179_at"
"217002_s_at"	"216939_s_at"
"216615_s_at"	"207577_at"
"202014_at"	"215735_s_at"
"210770_s_at"	"208206_s_at"
"208514_at"	"211431_s_at"
"218679_s_at"	"201551_s_at"
"201390_s_at"	"222015_at"
"211783_s_at"	"203938_s_at"
"218227_at"	"201173_x_at"	"210575_at"	"210574_s_at"
"216438_s_at"	"206769_at"
"217489_s_at"	"206813_at"	"205723_at"	"205945_at"	"203591_s_at"
"214370_at"	"205863_at"
"221505_at"	"201541_s_at"	"208103_s_at"	"207168_s_at"
"202460_s_at"	"203318_s_at"
"205627_at"	"209667_at"
"204408_at"	"218463_s_at"
"202459_s_at"	"203319_s_at"
"202917_s_at"	"217728_at"
"213336_at"	"217742_s_at"	"219679_s_at"	"208445_s_at"
"220118_at"	"212836_at"
"221548_s_at"	"210582_s_at"
"214510_at"	"211201_at"	"207578_s_at"	"210382_at"
"220331_at"	"211019_s_at"
"204099_at"	"201897_s_at"
"208826_x_at"	"206492_at"
"217720_at"	"201708_s_at"	"201709_s_at"
"222122_s_at"	"218848_at"
"216204_at"	"209546_s_at"
"206995_x_at"	"204150_at"	"38487_at"
"215580_at"	"212103_at"	"212102_s_at"	"212269_s_at"
"217863_at"	"201763_s_at"
"217502_at"	"213293_s_at"
"218076_s_at"	"203838_s_at"
"214383_x_at"	"214367_at"
"212518_at"	"34478_at"
"202799_at"	"209078_s_at"	"209077_at"
"205965_at"	"209782_s_at"	"209783_at"
"220470_at"	"216267_s_at"
"203683_s_at"	"212667_at"	"200665_s_at"
"37408_at"	"214866_at"
"207694_at"	"202758_s_at"
"35148_at"	"222354_at"
"206773_at"	"202145_at"
"205952_at"	"214382_at"
"220491_at"	"221577_x_at"
"217395_at"	"204326_x_at"	"208581_x_at"
"218952_at"	"201116_s_at"	"201117_s_at"
"218188_s_at"	"210800_at"	"205217_at"
"204144_s_at"	"205873_at"	"213889_at"
