"203663_s_at"	"201134_x_at"	"201568_at"	"213846_at"
"208714_at"	"211752_s_at"	"202839_s_at"	"218563_at"	"211407_at"
"209742_s_at"	"205589_at"
"214425_at"	"214417_s_at"
"205477_s_at"	"210520_at"
"206834_at"	"217683_at"	"220807_at"	"206647_at"
"215389_s_at"	"205693_at"
"210982_s_at"	"217478_s_at"
