"RPL4"	"RPLP2"	"RPL27A"	"RPL37"	"RPL37A"	"RPL8"	"RPL15"	"RPL18"	"RPL32"	"RPL41"	"RPL35"	"RPS2"	"RPS23"	"RPS21"	"RPL14"	"RPL13A"	"RPLP0"	"RPL7"	"RPS9"	"RPL10"	"RPL30"	"RPL11"	"GSPT2"	"EIF4A2"	"HARS2"	"EEF2"	"MRPL16"	"MRPS12"	"MRPL17"	"EIF5A"	"RPN1"	"PSMA4"	"PSMA7"	"PSMB4"	"PSMC4"	"DDOST"	"POLR2L"
"PCBP1"	"FRG1"	"SF3A2"	"LSM2"	"XAB2"	"CPSF1"	"GTF2F1"	"PCBP2"	"FTSJ3"	"EXOSC3"
"HDAC3"	"HIST1H2AA"	"PLK1"	"PRMT5"
"AKT1"	"GYS1"	"UGP2"	"MDH2"
"CSNK2B"	"PPAN"	"NPM1"	"GTF2H4"
"NDUFV1"	"NDUFB10"	"NDUFA3"	"NDUFB7"	"NDUFB11"	"NDUFS7"	"UQCRC2"	"COX5A"	"UQCRQ"	"COX7C"	"COX7A2L"	"SDHC"
"STAT3"	"KPNA6"
"TUBB"	"DYNC1H1"	"KIFC1"	"TUBB2B"	"TUBGCP2"	"PCNT"
"CRK"	"VAV1"	"DNM2"
"RAB5C"	"RAB5B"	"SMAP1"	"ARF1"	"RAB11B"
"PPIB"	"TBCA"	"NUDC"
"MUS81"	"APEX2"	"UNG"
"CKS1B"	"PKMYT1"	"CDC25A"
"TIMM13"	"SEC61A1"	"ASNA1"
"SIN3B"	"MTA2"	"SAP30"	"HCFC1"	"MTA1"	"SUDS3"
"HLA-DRB1"	"HLA-DQA2"	"HLA-DMA"	"HLA-G"	"IFI30"
"ARPC1B"	"ARPC4"	"ARPC5"
"HRAS"	"SOS1"	"HCK"
"GNB1"	"GNB2"	"GNAI2"
"ARHGAP17"	"RHOBTB1"	"RHOG"	"FGD3"	"RHOT2"
"TPM2"	"TNNT3"	"MYL3"	"TNNI1"	"TNNI2"	"MYL2"	"TCAP"
"HINT1"	"FHIT"
"IRF3"	"IRF7"	"IRF2"	"ADAR"	"IFIT2"	"EGR1"
"ECHS1"	"PGK1"
"EXOSC5"	"EXOSC7"	"KHSRP"
"VWF"	"CD68"	"CYBA"
"ZNF598"	"UBE2R2"
"GABARAP"	"SQSTM1"
"SURF4"	"YIF1B"
"RIPK1"	"TNF"
"CD79A"	"TNFRSF13B"	"CD22"
"NFKB2"	"RELB"	"BCL3"
"STK11"	"USP11"
"GATA2"	"SPI1"	"CEBPA"
"PLCB3"	"PLCB2"	"UTS2R"
"HBD"	"HBE1"	"HBQ1"	"HBZ"
"BAD"	"BBC3"	"BID"	"MCL1"
"IGF2R"	"PLAUR"
"PAF1"	"ZBED1"
"DDX11"	"CHTF18"
"ACTA2"	"ACTA1"
"CLPP"	"TXN2"
"GSS"	"CNDP2"	"GCLM"
"USP22"	"ATXN7L3"
"MRPL52"	"MRPL21"	"MRPS24"
"PPP3CC"	"PPP1R1B"
"OR5A2"	"OR4C46"	"OR1M1"
"MYOG"	"SRF"
"LHX2"	"FGF8"
"PNMT"	"DBH"	"COMT"
"HTR4"	"SCTR"
