"RPL4"	"RPLP2"	"RRM2"	"RPS9"	"RPS2"	"RPL18"	"RPL7"	"RPLP0"	"RPL11"	"RPS23"	"RPL35"	"RPL14"	"RPL8"	"RPL30"	"RPL13A"	"RPL15"	"RPL37A"	"RPL36AL"	"RPL32"	"RPL27A"	"RPL10"	"RPS21"	"RPL41"	"EEF2"	"RPL37"	"NPM1"	"PCBP1"	"EIF5A"	"PSMA4"	"PSMC4"	"PSMA7"	"PCBP2"	"MARS"	"PSMB4"	"MYBBP1A"	"RPN1"	"PPIB"	"POLR2L"	"DDOST"	"CSNK2B"	"PRMT5"	"NONO"
"TIMM13"	"NDUFV1"	"NDUFB7"	"NDUFB11"	"NDUFB10"	"COX7C"	"UQCRQ"	"COX5A"	"UQCRC2"	"MRPS24"	"MRPL17"	"MRPS12"	"MDH2"	"SDHC"	"COX7A2L"	"TIMM8A"	"CLPP"	"NDUFA3"	"NDUFS7"	"MRPL16"	"IDH2"	"ECHS1"
"TUBB"	"HSPBP1"	"ASNA1"	"NUDC"
"HDAC3"	"AKT1"	"STAT3"	"IRF3"	"EGR1"
"PLK1"	"DDX11"	"INCENP"	"KIFC1"	"POLD3"	"PKMYT1"
"CPSF1"	"MUS81"	"SIN3B"	"XAB2"
"CKS1B"	"GTF2H4"	"POLR2J2"	"ZBED1"
"GNB2"	"GNB1"	"PGK1"	"GNAI2"	"RAB5C"	"ARF1"
"PPAN"	"FTSJ3"	"CTNNBL1"
"SET"	"ACTN4"
"CRK"	"ARHGAP17"	"CSK"	"SOS1"	"NCK2"
"SEC61A1"	"POR"	"PLP2"	"SLC39A7"	"SURF4"
"GSPT2"	"UBE2R2"	"SH3GL1"
"HRAS"	"VAV1"	"SOCS1"
"HLA-DRB1"	"HLA-DRA"	"HLA-DMA"	"HLA-DQA2"	"HLA-G"
"DYNC1H1"	"TUBGCP2"	"PCNT"	"DYNC1LI1"
"SP1"	"SMARCD3"	"NR5A1"
"MTA1"	"SUDS3"	"SAP30"	"HCFC1"	"MTA2"
"LSM2"	"LSM7"	"FRG1"	"SF3A2"
"LAMP1"	"RAB5B"
"HCK"	"ARPC1B"	"PSTPIP1"
"GABARAP"	"TBC1D2B"
"EIF4A2"	"EIF4G3"	"KPNA6"
"TPM2"	"TNNI1"	"TNNT3"	"TNNI2"	"TCAP"	"MYL3"	"MYL2"
"EXOSC5"	"EXOSC3"	"EXOSC7"	"MPHOSPH6"	"KHSRP"
"HINT1"	"DNAJC9"
"IRF2"	"IRF7"	"IFI30"
"AP2A1"	"ARRB2"
"ANAPC2"	"PHC1"	"PCGF6"
"VWF"	"SPARC"	"VEGFB"	"PF4"	"TMSB4X"
"ADCY1"	"NPW"	"NPY"	"CXCR4"	"GRM4"
"NFKB2"	"NFKBIB"	"TSC22D3"
"PDCL3"	"TUBB2B"	"HARS2"	"PYCR2"
"RHOG"	"ARHGEF16"	"ARHGAP9"	"RHOBTB1"	"RHOT2"	"FGD3"
"IGF2R"	"VAMP8"
"PIAS1"	"CEBPA"
"CAMK2A"	"SYNGAP1"
"CD79A"	"TNFRSF13B"	"CD22"
"BAD"	"HRK"	"MCL1"	"BID"	"BBC3"
"MYL6"	"ARPC5"
"SPI1"	"GATA2"	"ZFPM1"
"P2RY11"	"PRMT8"	"DPH5"
"RELB"	"USP11"
"ILKAP"	"STK11"
"RABAC1"	"SNX15"
"USP22"	"RBM10"
"CDC25A"	"FOXM1"
"ALOX5AP"	"TBXAS1"
"CNDP2"	"GSS"	"GCLM"
"HBD"	"HBE1"	"HBZ"	"HBQ1"
"RIPK1"	"TRAF5"
"ACTA1"	"ACTA2"
"PPP3CC"	"PPP1R1B"
"GEMIN4"	"PIAS3"
"PAF1"	"GTF2F1"
"ATP6V1F"	"ATP6AP1"
"VPS28"	"VPS37C"
"SPN"	"SIGLEC1"
"PIP5K1C"	"PLCB2"	"PLCB3"
"SLC44A4"	"SERINC2"
"MRPL21"	"MRPL52"
"ALAS2"	"SARDH"
"OR5A2"	"OR4C46"	"OR1M1"	"OR6N1"
"FADS2"	"LSS"
"SCTR"	"DCXR"
