"AKT1"	"FOXM1"	"WDTC1"	"STAT3"	"STK11"	"NPM1"	"SP1"	"HRAS"
"RPL11"	"SDSL"	"RPL35"	"RPL27A"	"EEF1G"	"RPL8"	"RPS23"	"RPL18"	"RPL32"	"RPL36AL"	"RPL10"	"RPL13A"	"RPS9"	"RPL4"	"RPL7"	"RPL30"	"RPS2"	"RPLP2"	"RPLP0"	"RPL37A"	"RPL14"	"RPL15"	"RPS21"	"RPL41"	"RPL37"	"EEF2"	"SMG6"	"SEC61A1"	"RPN1"	"DDOST"	"EIF5A"	"MRPS12"	"MRPL16"	"GSPT2"	"EXOSC3"
"TNF"	"TNFRSF13B"	"CD22"	"CD79A"	"SPN"	"SELL"	"IL7R"
"GNB1"	"PLCB2"	"GNB2"	"GNAI2"	"DIRAS2"	"RTN4RL2"	"PIK3R5"	"PLCB3"
"PLK1"	"RRM2"	"PKMYT1"	"CDC25A"	"BRSK1"	"PRMT5"
"ACTA1"	"MYL2"	"MYO18B"	"MYL3"	"TPM2"	"TNNT2"	"TNNT3"	"TNNI1"	"TNNI2"	"TCAP"	"MYL6"
"HDAC3"	"IRF3"
"ARRB2"	"OR4C46"
"HIST1H2AC"	"HIST1H2AA"	"FOXK1"	"SUDS3"	"SAP30"	"MTA2"	"SIN3B"	"HINT1"
"POLR2L"	"POLR2J2"	"GTF2H4"	"GTF2F1"	"PAF1"
"DNM2"	"MPZ"
"DYNC1H1"	"DNAH11"	"DYNC1LI1"	"TUBB"	"KIFC1"	"KIF25"	"TUBB2B"	"TUBGCP2"
"ITGA2B"	"SLAMF1"
"ANAPC2"	"UBE2R2"	"ASB2"	"SOCS1"	"UBE2V1"	"DTX3L"	"MIB2"	"RNF130"
"EGR1"	"GATA2"	"HELT"	"ZBTB32"
"HLA-DRB1"	"HLA-DQA2"	"HLA-DRA"	"HLA-G"	"AP2A1"	"HLA-DMA"	"IRF7"
"NDUFV1"	"NDUFB7"	"NDUFB11"	"NDUFA3"	"NDUFB10"	"NDUFS7"	"ACAD9"	"SDHC"	"COX5A"	"UQCRC2"	"UQCRQ"	"COX7C"
"RAB5C"	"IGF2R"	"RAB5B"	"VAMP8"	"TGOLN2"	"SYT8"	"ARF1"	"ARPC5"
"VWF"	"THPO"	"PF4"	"CXCR4"	"NPW"
"PSMA7"	"PSMA4"	"NFKBIB"	"PSMB4"	"PSME4"	"PSMC4"	"RELB"	"NFKB2"
"ACTN4"	"TRIM3"
"PPP3CC"	"PIM2"
"SOS1"	"VAV1"	"RHOBTB1"	"RHOT2"	"RHOG"	"ARHGEF16"
"MCL1"	"HRK"	"BAD"	"BBC3"	"BID"
"AMBP"	"ECE1"	"COMP"	"NDP"
"LSM2"	"LSM7"	"SF3A2"	"XAB2"	"CTNNBL1"	"PCBP1"	"PQBP1"	"CPSF1"	"PCBP2"
"SPI1"	"STAT5A"	"ZFPM1"	"TAL1"
"TXNRD2"	"SARDH"	"SCLY"
"TH"	"PAH"	"CYGB"	"HBD"	"HBE1"	"HBZ"	"HBQ1"
"P2RY11"	"FFAR2"	"UTS2R"
"HK3"	"FCN1"
"CAMK2A"	"DLGAP1"	"SYNGAP1"
"FGF8"	"WNT3"	"WNT11"	"WNT10B"
"HCK"	"FRS3"
"ADCY1"	"HTR4"	"FSHR"	"GPR20"	"SCTR"
"SH3GL1"	"MICAL1"
"IDH2"	"MDH2"	"GLUD2"
"RANGAP1"	"INCENP"	"CENPH"	"NUDC"	"PPP2R5A"
"CRK"	"HSPB1"
"MGAM"	"GGT1"
"CAB39"	"LRG1"
"KHSRP"	"EXOSC7"	"EXOSC5"	"MPHOSPH6"	"ZFP36L1"
"KRTAP6-3"	"KRTAP19-6"	"KRTAP11-1"	"KRTAP23-1"	"KRTAP6-2"
"CACNA1H"	"CACNA2D4"	"CATSPER3"
"CNDP2"	"GSS"	"GLRX"
"POM121"	"NUP210"	"THOC6"	"THOC2"
"NPY"	"ASIP"
"PRKCG"	"SPHK1"
"COMT"	"APOL3"
"PIAS1"	"MSX1"
"IRF2"	"TRIM22"	"IFI30"
"IL6R"	"CTF1"	"CNTFR"
"LAMP1"	"CD63"	"ANXA5"
"MYBBP1A"	"TAF1C"	"BAZ1B"
"MRPL21"	"MRPL17"	"MRPL52"	"MRPS24"
"POR"	"CYP4A11"
"CHCHD4"	"CHCHD2"	"TIMM8A"	"TIMM13"
"EIF4EBP1"	"EIF4G3"	"EIF4A2"
"IL13"	"SERPINB5"
"NR5A1"	"TCF7"
"PIAS3"	"MTA1"	"STAT4"
"PPIB"	"CRTAP"	"COL9A3"
"PGK1"	"MARS"
"ECHS1"	"CHDH"
"ILKAP"	"LIMK2"
"S100A12"	"S100A8"	"PROK2"
"CEBPA"	"DBP"	"BATF"
"SRF"	"MYOG"
"TMSB4X"	"SPARC"	"VEGFB"
"FTSJ3"	"PPAN"	"GNL1"
"CD68"	"CD207"
"CSNK2B"	"STK24"
"PHC1"	"PCGF6"
"POU3F4"	"RFXANK"
"P2RX3"	"HTR3A"
"EXT2"	"CHPF"	"B3GAT3"
"KCNK3"	"KCNK9"	"UNC93A"
"C8G"	"LCN1"
"USP11"	"MCM3AP"
"APEX2"	"UNG"
