"RPL4"	"RPLP2"	"RPL27A"	"RPL37"	"RPL37A"	"RPL8"	"RPL15"	"RPL18"	"RPL32"	"RPL41"	"RPL35"	"RPS2"	"RPL14"	"RPS23"	"RPL13A"	"RPS9"	"RPS21"	"RPL7"	"RPLP0"	"RPL10"	"RPL30"	"GSPT2"	"RPL11"	"HARS2"	"EEF2"	"EIF4A2"	"RPN1"	"PCBP1"	"PSMA4"	"PSMA7"	"PSMB4"	"PSMC4"	"DDOST"	"POLR2L"	"PCBP2"	"EIF5A"	"MRPL16"	"MRPS12"	"MRPL17"	"CPSF1"	"SET"	"NPM1"	"MYBBP1A"	"XAB2"
"TUBB"	"PLK1"	"ZBED1"	"GNAI2"	"GNB1"
"HDAC3"	"HIST1H2AA"	"PRMT5"	"PRMT8"	"HIST1H2AC"
"AKT1"	"SERPINB5"
"STAT3"	"KPNA6"
"CSNK2B"	"PPAN"	"DYNC1H1"
"NDUFV1"	"NDUFB11"	"NDUFA3"	"NDUFB7"	"NDUFB10"	"NDUFS7"	"COX5A"	"UQCRC2"	"UQCRQ"	"COX7C"	"SDHC"	"MDH2"	"COX7A2L"
"NUDC"	"TBCA"	"PPIB"
"CRK"	"SOS1"	"NCK2"	"CSK"
"NONO"	"RELB"
"RAB5C"	"RAB5B"	"SMAP1"	"ARF1"	"RAB11B"	"YIF1B"
"FRG1"	"LSM2"	"LSM7"	"SF3A2"	"CTNNBL1"	"FTSJ3"
"MUS81"	"APEX2"	"UNG"
"SP1"	"HINT1"	"SAP30"	"HCFC1"	"MTA2"
"HRAS"	"HCK"	"VAV1"
"HLA-DRB1"	"IFI30"	"HLA-DMA"	"HLA-DRA"	"HLA-DQA2"
"MSN"	"SLC9A3R2"
"SIN3B"	"KLF16"
"CKS1B"	"CDC25A"	"PKMYT1"	"KIFC1"
"SH3GL1"	"GNB2"
"IRF2"	"IRF3"	"IRF7"	"GTF2F1"	"IFIT2"	"ADAR"
"ARHGAP17"	"RHOG"	"RHOBTB1"	"FGD3"	"RHOT2"	"ARHGEF16"	"ARHGAP9"
"TPM2"	"TNNT3"	"MYL3"	"TNNI1"	"TNNI2"	"MYL2"	"TCAP"
"GABARAP"	"SQSTM1"
"MTA1"	"FOXK1"
"ECHS1"	"PGK1"	"UGP2"
"EXOSC5"	"EXOSC3"	"EXOSC7"	"KHSRP"	"MPHOSPH6"
"ZNF598"	"UBE2R2"
"ARPC1B"	"ARPC5"	"ARPC4"
"GTF2H4"	"POLD3"
"VWF"	"CD68"	"CYBA"
"IGF2R"	"PLAUR"
"SPARC"	"LAMA5"
"ADCY1"	"HTR4"	"SCTR"	"ADM2"	"FSHR"
"SURF4"	"PLSCR3"
"ACTA2"	"ACTA1"
"USP22"	"ATXN7L3"
"RIPK1"	"TNF"
"SEC61A1"	"ASNA1"
"SPI1"	"GATA2"	"CEBPA"
"NFKB2"	"NFKBIB"
"GSS"	"CNDP2"	"GCLM"
"STK11"	"USP11"
"CD79A"	"TNFRSF13B"	"CD22"
"BAD"	"BID"	"BBC3"	"MCL1"
"HBE1"	"HBD"	"HBQ1"	"HBZ"
"PLCB3"	"UTS2R"	"PLCB2"	"PROK2"	"FFAR2"
"AP2A1"	"DNM2"
"NPY"	"GRM4"	"NPW"	"RGS14"
"P2RY11"	"GNL1"
"DDX11"	"CHTF18"
"TUBB2B"	"TUBGCP2"
"THOC2"	"THOC6"
"MRPL52"	"MRPL21"	"MRPS24"
"GLUD2"	"GYS1"
"COMT"	"PNMT"	"DBH"
"PPP3CC"	"PPP1R1B"
"OR5A2"	"OR4C46"	"OR1M1"
"LHX2"	"FGF8"
"DDA1"	"WDTC1"
