"AKT1"	"GYS1"	"UGP2"
"TNF"	"CD68"	"CXCR4"	"VWF"
"RPL35"	"RPL4"	"RPL37"	"RPL27A"	"RPLP2"	"RPL37A"	"RPL8"	"RPL18"	"RPL15"	"RPL41"	"RPL32"	"RPS2"	"RPS23"	"RPS21"	"RPL14"	"RPL13A"	"RPLP0"	"RPL7"	"RPS9"	"RPL10"	"RPL30"	"GSPT2"	"RPL11"	"MRPS12"	"EEF2"	"EIF4A2"	"MRPL16"	"SMG6"	"EXOSC7"	"EXOSC3"	"EXOSC5"	"SEC61A1"	"EEF1G"
"HRAS"	"STAT3"	"HCK"
"GNB1"	"OR4C46"
"PLK1"	"MYT1"	"PKMYT1"
"ACTA1"	"TNNI2"	"TNNT3"	"TNNI1"	"MYL6"	"TPM2"	"TNNT2"	"MYL2"	"MYL3"	"TCAP"
"HDAC3"	"HIST1H2AA"	"MTA2"	"SUDS3"	"HIST1H2AC"	"SAP30"	"SIN3B"
"GNB2"	"GNAI2"	"CORT"	"GRM4"	"NPW"
"POLR2L"	"GTF2F1"	"GTF2H4"	"XAB2"	"SF3A2"	"PCBP1"	"LSM7"	"LSM2"	"CPSF1"
"DYNC1H1"	"TUBB"	"DYNC1LI1"	"PCNT"	"TUBGCP2"
"EGR1"	"LHX2"
"HLA-DRB1"	"HLA-DQA2"	"HLA-DRA"	"IFI30"	"HLA-G"	"IRF2"	"TRIM22"	"IRF7"	"IRF3"
"NDUFV1"	"NDUFB7"	"NDUFB10"	"NDUFA3"	"NDUFB11"	"NDUFS7"	"ACAD9"	"UQCRC2"	"COX5A"	"UQCRQ"	"SDHC"
"SP1"	"PNMT"	"TH"
"VAV1"	"SOS1"	"LAT"	"CRK"
"FGF8"	"PAX8"	"GBX2"	"WNT3"
"ANAPC2"	"HECTD3"	"UBE2R2"	"RNF130"	"DTX3L"	"MIB2"	"ASB2"
"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"PSME4"
"RAB5C"	"RAB5B"	"RAB11B"	"ARF1"
"SPI1"	"TAL1"	"GATA2"	"ZFPM1"
"NPM1"	"NPM3"
"GGT1"	"CNDP2"	"GSS"	"GCLM"
"ARPC5"	"ARPC4"	"ARPC1B"
"RHOG"	"RHOBTB1"	"FGD3"	"RHOT2"	"ARHGAP17"
"RIPK1"	"NTAN1"
"CAB39"	"LRG1"
"PLCB2"	"PLCB3"	"UTS2R"
"FOXM1"	"CDC25A"
"CAMK2A"	"DLGAP1"	"SYNGAP1"
"ARRB2"	"OR1M1"
"ECHS1"	"IDH2"
"TUBB2B"	"KIFC1"	"KIF25"	"KIF1A"
"KRTAP6-3"	"KRTAP11-1"	"KRTAP23-1"	"KRTAP6-2"	"KRTAP19-6"
"NUP210"	"POM121"	"THOC2"	"THOC6"
"HBE1"	"HBD"	"HBQ1"	"HBZ"
"STK11"	"WDTC1"
"NFKB2"	"RELB"	"TRAF5"
"WNT11"	"VANGL1"
"MSN"	"SPN"
"HTR4"	"GPR20"	"SCTR"
"MRPL21"	"MRPL17"	"MRPS24"	"MRPL52"
"CACNA1H"	"CATSPER3"
"CTF1"	"SOCS1"
"KCNE1"	"KCNIP2"
"FCN1"	"CFP"
"GEMIN7"	"GEMIN4"
"KLC2"	"HLA-DMA"
"MDH2"	"GLUD2"
"HINT1"	"FHIT"
"VTN"	"C8G"
"BID"	"BBC3"	"BAD"	"HRK"
"BST2"	"IFITM1"	"ADAR"	"IFIT2"
"EIF4EBP1"	"EIF4G3"
"HCFC1"	"FOXK1"
"BAZ1B"	"TAF1C"
"FTSJ3"	"PPAN"
"GABRD"	"KCNK3"
"ANP32E"	"ZNHIT1"
"EXT2"	"CHPF"	"B3GAT3"
"PEPD"	"HARS2"
"APEX2"	"UNG"
