"AKT1"	"WDTC1"	"STK11"	"HRAS"	"VWF"	"GP9"	"ITGA2B"	"TNF"	"PF4"	"ANXA5"	"IL13"
"FAU"	"RPS2"	"RPL15"	"RPL14"	"RPL30"	"RPL27A"	"RPS23"	"RPL4"	"RPL37A"	"RPLP0"	"RPL36AL"	"RPL7"	"RPL10"	"RPS9"	"RPS21"	"MRPS12"	"RPL11"	"EEF2"	"RPL35"	"RPL13A"	"RPL8"	"RPL18"	"RPL37"	"RPL32"	"RPL41"	"RPLP2"	"MRPL16"	"GSPT2"	"MPHOSPH6"	"EIF5A"	"EIF4A2"	"RPN1"	"EXOSC7"	"EXOSC3"	"EEF1G"	"SMG6"
"STAT3"	"DIRAS3"	"IL32"	"SPI1"	"GATA2"
"PLK1"	"ANAPC2"	"MIB2"	"HECTD3"	"UBE2R2"	"UBE2V1"	"ASB2"	"DTX3L"	"SOCS1"	"RNF130"
"ACTA1"	"TNNI1"	"MYL2"	"TNNT3"	"TNNT2"	"TNNI2"	"TPM2"	"MYL6"	"TCAP"	"MYL3"
"SH3GL1"	"TGOLN2"	"ARRB2"	"ARPC4"	"ARPC5"	"AP2A1"	"VAMP8"	"DNM2"	"RAB5B"	"RAB5C"	"IGF2R"	"SYT8"	"ARF1"
"HDAC3"	"SIN3B"	"SAP30"	"SUDS3"	"MTA2"	"HINT1"
"GNB2"	"GNB1"	"NPW"	"GNAI2"	"CXCR4"	"NPY"	"CORT"	"FFAR2"
"SP1"	"EGR1"	"SRF"	"ACTA2"	"MYOG"	"MEF2D"
"DYNC1H1"	"PCNT"	"DYNC1LI1"	"TUBB"	"TUBGCP2"	"CSNK1E"	"TUBB2B"	"DNAH11"
"XAB2"	"SF3A2"	"LSM7"	"LSM2"	"PCBP2"	"PCBP1"	"CPSF1"	"CTNNBL1"	"GTF2F1"	"PQBP1"	"POLR2L"
"PPP3CC"	"PPP2R5A"	"INCENP"	"NUDC"	"CENPH"	"RANGAP1"
"IRF3"	"IFITM1"	"IRF7"	"IRF2"	"TRIM22"	"IFIT2"	"BST2"	"HLA-G"	"ADAR"
"CD79A"	"AMBP"
"TH"	"HBD"	"HBE1"	"HBQ1"	"HBZ"	"ECHS1"	"PAH"
"MCL1"	"HRK"	"BBC3"	"BAD"	"BID"
"PSMA7"	"PSMA4"	"PSMB4"	"PSMC4"	"PSME4"	"OAZ2"	"CDC25A"	"NFKBIB"	"DHH"
"HCK"	"ILKAP"	"CSK"
"VAV1"	"CD53"	"BIN2"	"ALOX5AP"
"NPM1"	"SURF4"	"SEC61A1"	"KLC2"
"ACTN4"	"SLC9A3R2"
"NDUFB10"	"NDUFV1"	"NDUFB7"	"NDUFA3"	"NDUFS7"
"FOXM1"	"TACC3"
"SOS1"	"FRS3"	"CRK"	"NCK2"
"HIST1H2AC"	"HIST1H2AA"	"PRMT5"	"PHC1"
"TXNRD2"	"TXN2"	"GLRX"
"STAT5A"	"STAT4"	"PIAS3"
"COMP"	"NDP"	"PDXP"
"COX5A"	"NDUFB11"	"COX7C"	"UQCRQ"
"HLA-DRA"	"HLA-DMA"	"HLA-DRB1"
"LHX2"	"MSX1"	"EVX1"	"TLX1"
"IL7R"	"SLAMF1"
"RHOT2"	"RHOG"	"RHOBTB1"	"ARHGEF16"
"PLCB3"	"PLCD1"	"PLCB2"
"KCNE1"	"ARR3"
"CACNA1A"	"CACNA2D4"	"CACNA1H"
"CAB39"	"STK24"
"P2RY11"	"HTR4"	"GPR20"	"SCTR"	"FSHR"
"OBSCN"	"KCTD17"
"LAMP1"	"CD63"
"IL6R"	"CSF3R"	"CTF1"	"CNTFR"	"THPO"
"GGT1"	"CNDP2"
"GEMIN7"	"KHSRP"	"GEMIN4"	"POM121"
"MSN"	"SELL"	"SPN"
"WNT11"	"VANGL1"	"DLG5"
"TIMM8A"	"CDA"	"CHCHD4"	"JOSD1"
"KIF1A"	"PPFIA3"	"GIT1"
"CSNK2B"	"PLEKHO1"
"CAMK2A"	"SQSTM1"	"RIPK1"
"ZBTB32"	"FANCG"
"PPIB"	"OS9"	"CRTAP"
"RRM2"	"CKS1B"	"DNAJC9"	"PKMYT1"
"MTA1"	"PIAS1"
"PLAUR"	"MRC2"
"S100A8"	"S100A12"	"FCN1"
"NR5A1"	"PITX1"	"TBX5"
"RELB"	"NFKB2"	"TRAF5"
"COMT"	"PNMT"
"EIF4EBP1"	"LRRC20"	"LRG1"	"TNIP1"
"FTSJ3"	"PRMT8"
"MRPL21"	"MRPL52"	"MRPS24"	"MRPL17"
"RHPN1"	"ZFYVE1"	"USP2"
"ADAMTSL2"	"ADAMTS4"	"ADAMTS13"	"CFP"
"CRTC2"	"TSC2"
"GTF2H4"	"DDX11"
"WNT3"	"WNT10B"
"CD22"	"TNFRSF13B"
"ACHE"	"RAPSN"
"CEBPA"	"BATF"	"DBP"
"VPS28"	"CYHR1"
"TYRO3"	"RTN4R"	"RTN2"
"DDOST"	"PCSK4"	"ORMDL3"
"MYBBP1A"	"PPAN"
"FOXK1"	"KLF16"
"TMSB4X"	"TMSB4Y"
"SPARC"	"VEGFB"
"SLC3A2"	"SCGB1A1"
"PFDN2"	"ODF3"	"ODF4"
"B3GAT3"	"NIPSNAP1"	"CHCHD2"
"SERPINB5"	"TMEM115"	"BET1L"
"GYS1"	"UGP2"
"GABRD"	"CLIC3"
"TJP3"	"F11R"	"CLDN6"
"LY6H"	"LY6E"
