"symbol1" "symbol2" "MF"
"ACP5" "CLCN7" 0.023
"ACP5" "NES" 0.026
"ACP5" "CD207" 0.032
"COMP" "NES" 0.521
"COMP" "NDP" 0.222
"HRK" "BBC3" 0.657
"SIX3" "ENTPD2" 0
"SIX3" "LHX2" 0.945
"TNFRSF13B" "TNFSF13" 0.329
"PRKCG" "ADRBK1" NA
"POLD3" "POLR2L" 0.627
"ASB6" "ANAPC2" 0.657
"ANXA5" "BBC3" 0.225
"RPS9" "GSPT2" 0.482
"DCXR" "NES" 0.035
"SNCB" "ALAS2" 0.21
"ADRBK1" "GIT1" NA
"ANAPC2" "PCGF6" 0.657
"COX5A" "ATP5G2" NA
"POLR2L" "ENTPD2" 0.236
"LCE3B" "S100A8" 0
"NES" "NDP" 0.044
"S100A8" "FCN1" 0.39
"TLX1" "LHX2" 0.945
"LHX2" "CRB2" 0
